season,team,conf,division,games,wins,true_wins,losses,ties,pf,pa,pd,win_pct,div_pct,conf_pct,MOV,SOS,SRS,OSRS,DSRS,sov,sos,div_rank,div_tie_broken_by,conf_rank,conf_tie_broken_by
2008,HOU,AFC,AFC South,16,8,8,8,0,366,394,-28,0.5,0.3333333333333333,0.4166666666666667,-1.75,1.3590826718140983,-0.3909173281859014,2.7606842925867796,-3.151601620772681,0.41015625,0.517578125,3,NA,9,Common Games Win PCT (2)
2008,IND,AFC,AFC South,16,12,12,4,0,377,298,79,0.75,0.6666666666666666,0.8333333333333334,4.9375,1.5535271162949225,6.491027116294923,2.612370800592409,3.878656315702514,0.4921875,0.498046875,2,NA,5,NA
2008,JAX,AFC,AFC South,16,5,5,11,0,302,367,-65,0.3125,0.3333333333333333,0.25,-4.0625,1.5538743385369715,-2.5086256614630282,-2.0760716597174116,-0.43255400174561665,0.425,0.537109375,4,NA,13,NA
2008,KC,AFC,AFC West,16,2,2,14,0,291,440,-149,0.125,0.3333333333333333,0.16666666666666666,-9.3125,0.08653735353819281,-9.225962646461808,-3.9206075989578,-5.305355047504007,0.40625,0.537109375,4,NA,16,NA
2008,LA,NFC,NFC West,16,2,2,14,0,232,465,-233,0.125,0,0.16666666666666666,-14.5625,-0.5304237537131948,-15.092923753713194,-8.089508864870632,-7.003414888842562,0.53125,0.533203125,4,NA,15,NA
2008,LAC,AFC,AFC West,16,8,8,8,0,439,347,92,0.5,0.8333333333333334,0.5833333333333334,5.75,-0.7915876464747222,4.9584123535252775,4.9636185915202695,-0.00520623799499198,0.3984375,0.515625,1,Division Win PCT (2),4,NA
2008,LV,AFC,AFC West,16,5,5,11,0,263,388,-125,0.3125,0.3333333333333333,0.3333333333333333,-7.8125,0.3334123535616578,-7.479087646438342,-6.522988551267751,-0.9560990951705906,0.45,0.51953125,3,NA,12,Conference Win PCT (2)
2008,MIA,AFC,AFC East,16,11,11,5,0,345,317,28,0.6875,0.6666666666666666,0.6666666666666666,1.75,-2.278181386765768,-0.5281813867657675,-2.364202795543577,1.8360214087778095,0.3977272727272727,0.4609375,1,Conference Win PCT (2),3,NA
2008,MIN,NFC,NFC North,16,10,10,6,0,379,333,46,0.625,0.6666666666666666,0.6666666666666666,2.875,1.1599392493505454,4.034939249350545,1.1245006109197695,2.910438638430776,0.43125,0.50390625,1,NA,3,NA
2008,NE,AFC,AFC East,16,11,11,5,0,410,309,101,0.6875,0.6666666666666666,0.5833333333333334,6.3125,-2.403181386802147,3.909318613197853,2.3366900615301587,1.572628551667694,0.4034090909090909,0.48046875,2,Conference Win PCT (2),7,NA
2008,NO,NFC,NFC South,16,8,8,8,0,463,393,70,0.5,0.3333333333333333,0.4166666666666667,4.375,-0.32945843828161125,4.045541561718389,6.843713288826778,-2.7981717271083886,0.375,0.49609375,4,NA,11,NA
2008,NYG,NFC,NFC East,16,12,12,4,0,427,294,133,0.75,0.6666666666666666,0.75,8.3125,0.06001548658534914,8.37251548658535,5.53904628549535,2.8334692010899998,0.5,0.501953125,1,NA,1,Head-To-Head Sweep (2)
2008,NYJ,AFC,AFC East,16,9,9,7,0,405,356,49,0.5625,0.6666666666666666,0.5833333333333334,3.0625,-2.837556386789233,0.22494361321076742,2.166749585337802,-1.9418059721270347,0.4618055555555556,0.470703125,3,NA,8,NA
