game_id,season,week,gameday,home_team,away_team,home_score,away_score,location,home_elo_pre,away_elo_pre,home_elo_post,away_elo_post
2006_10_BUF_IND,2006,10,2006-11-12,IND,BUF,17,16,Home,1630.6479728332201,1474.690349955244,1634.3957561727814,1470.9425666156828
2006_10_CHI_NYG,2006,10,2006-11-12,NYG,CHI,20,38,Home,1592.1615365294483,1607.4307778158202,1564.2043867397922,1635.3879276054763
2006_10_CLE_ATL,2006,10,2006-11-12,ATL,CLE,13,17,Home,1503.393249832212,1442.1948696670966,1485.004446158222,1460.5836733410865
2006_10_DAL_ARI,2006,10,2006-11-12,ARI,DAL,10,27,Home,1387.138513488358,1522.5921980923122,1370.0192071694769,1539.7115044111933
2006_10_DEN_OAK,2006,10,2006-11-12,LV,DEN,13,17,Home,1418.2126685680869,1579.240796534173,1409.7082367503265,1587.7452283519333
2006_10_GB_MIN,2006,10,2006-11-12,MIN,GB,17,23,Home,1492.077024938397,1453.4770751214733,1470.8375325432355,1474.7165675166348
2006_10_HOU_JAX,2006,10,2006-11-12,JAX,HOU,10,13,Home,1549.7329797793104,1416.7755650047168,1531.8880449514338,1434.6204998325934
2006_10_KC_MIA,2006,10,2006-11-12,MIA,KC,13,10,Home,1443.9722970177756,1535.8072175692387,1460.7175086269435,1519.0620059600708
2006_10_NO_PIT,2006,10,2006-11-12,PIT,NO,38,31,Home,1449.6711448209483,1563.6807178879865,1475.705199715782,1537.6466629931526
2006_10_NYJ_NE,2006,10,2006-11-12,NE,NYJ,14,17,Home,1590.0394210696682,1476.5968279240283,1572.6984945401634,1493.937754453533
2006_10_SD_CIN,2006,10,2006-11-12,CIN,LAC,41,49,Home,1509.2022172847094,1607.8314303683433,1493.9871930967988,1623.0464545562538
2006_10_SF_DET,2006,10,2006-11-12,DET,SF,13,19,Home,1439.7441334497835,1447.7717929747444,1420.8036760051068,1466.712250419421
2006_10_STL_SEA,2006,10,2006-11-12,SEA,LA,24,22,Home,1510.7519464881461,1475.7277288149287,1520.4794558822834,1466.0002194207914
2006_10_WAS_PHI,2006,10,2006-11-12,PHI,WAS,27,3,Home,1530.4305022311305,1459.159628220714,1555.301614150686,1434.2885163011586
2006_10_TB_CAR,2006,10,2006-11-13,CAR,TB,24,10,Home,1476.180027698118,1413.5251446578898,1497.8131206082985,1391.8920517477093
2006_11_ATL_BAL,2006,11,2006-11-19,BAL,ATL,24,10,Home,1586.464218445677,1485.004446158222,1604.9991367554583,1466.4695278484407
2006_11_BUF_HOU,2006,11,2006-11-19,HOU,BUF,21,24,Home,1434.6204998325934,1470.9425666156828,1422.403283977516,1483.1597824707603
2006_11_CHI_NYJ,2006,11,2006-11-19,NYJ,CHI,0,10,Home,1493.937754453533,1635.3879276054763,1480.104793362505,1649.2208886965043
2006_11_CIN_NO,2006,11,2006-11-19,NO,CIN,16,31,Home,1537.6466629931526,1493.9871930967988,1507.0618694889163,1524.5719866010352
2006_11_DET_ARI,2006,11,2006-11-19,ARI,DET,17,10,Home,1370.0192071694769,1420.8036760051068,1393.2943866667251,1397.5284965078586
2006_11_IND_DAL,2006,11,2006-11-19,DAL,IND,21,14,Home,1539.7115044111933,1634.3957561727814,1564.9503944759788,1609.156866107996
2006_11_MIN_MIA,2006,11,2006-11-19,MIA,MIN,24,20,Home,1460.7175086269435,1470.8375325432355,1477.2047073017982,1454.3503338683809
2006_11_NE_GB,2006,11,2006-11-19,GB,NE,0,35,Home,1474.7165675166348,1572.6984945401634,1449.835882255646,1597.5791798011521
2006_11_OAK_KC,2006,11,2006-11-19,KC,LV,17,13,Home,1519.0620059600708,1409.7082367503265,1529.721796426741,1399.0484462836562
2006_11_PIT_CLE,2006,11,2006-11-19,CLE,PIT,20,24,Home,1460.5836733410865,1475.705199715782,1445.2944214286147,1490.994451628254
2006_11_SD_DEN,2006,11,2006-11-19,DEN,LAC,27,35,Home,1587.7452283519333,1623.0464545562538,1568.3096868058938,1642.4819961022934
2006_11_SEA_SF,2006,11,2006-11-19,SF,SEA,20,14,Home,1466.712250419421,1520.4794558822834,1488.6234217558017,1498.5682845459028
2006_11_STL_CAR,2006,11,2006-11-19,CAR,LA,15,0,Home,1497.8131206082985,1466.0002194207914,1522.648235348969,1441.165104680121
2006_11_TEN_PHI,2006,11,2006-11-19,PHI,TEN,13,31,Home,1555.301614150686,1413.6780249163014,1516.9473358455573,1452.03230322143
2006_11_WAS_TB,2006,11,2006-11-19,TB,WAS,20,17,Home,1391.8920517477093,1434.2885163011586,1407.1443703868813,1419.0361976619865
2006_11_NYG_JAX,2006,11,2006-11-20,JAX,NYG,26,10,Home,1531.8880449514338,1564.2043867397922,1562.3996941488651,1533.6927375423609
2006_12_DEN_KC,2006,12,2006-11-23,KC,DEN,19,10,Home,1529.721796426741,1568.3096868058938,1554.8537339677268,1543.177749264908
2006_12_MIA_DET,2006,12,2006-11-23,DET,MIA,10,27,Home,1397.5284965078586,1477.2047073017982,1375.9218806735362,1498.8113231361206
2006_12_TB_DAL,2006,12,2006-11-23,DAL,TB,38,10,Home,1564.9503944759788,1407.1443703868813,1583.0055595826566,1389.0892052802035
2006_12_ARI_MIN,2006,12,2006-11-26,MIN,ARI,31,26,Home,1454.3503338683809,1393.2943866667251,1468.7515580102654,1378.8931625248406
2006_12_CAR_WAS,2006,12,2006-11-26,WAS,CAR,17,13,Home,1419.0361976619865,1522.648235348969,1438.8592398601036,1502.8251931508519
2006_12_CHI_NE,2006,12,2006-11-26,NE,CHI,17,13,Home,1597.5791798011521,1649.2208886965043,1615.624720940731,1631.1753475569253
2006_12_CIN_CLE,2006,12,2006-11-26,CLE,CIN,0,30,Home,1445.2944214286147,1524.5719866010352,1419.5834776972185,1550.2829303324313
2006_12_HOU_NYJ,2006,12,2006-11-26,NYJ,HOU,26,11,Home,1480.104793362505,1422.403283977516,1502.6758920801476,1399.8321852598733
2006_12_JAX_BUF,2006,12,2006-11-26,BUF,JAX,27,24,Home,1483.1597824707603,1562.3996941488651,1499.5407435078373,1546.0187331117882
2006_12_NO_ATL,2006,12,2006-11-26,ATL,NO,13,31,Home,1466.4695278484407,1507.0618694889163,1440.9210766981198,1532.6103206392372
2006_12_NYG_TEN,2006,12,2006-11-26,TEN,NYG,24,21,Home,1452.03230322143,1533.6927375423609,1468.4841902591943,1517.2408505045967
2006_12_OAK_SD,2006,12,2006-11-26,LAC,LV,21,14,Home,1642.4819961022934,1399.0484462836562,1649.8814885651602,1391.6489538207893
2006_12_PHI_IND,2006,12,2006-11-26,IND,PHI,45,21,Home,1609.156866107996,1516.9473358455573,1632.0387437096324,1494.0654582439208
2006_12_PIT_BAL,2006,12,2006-11-26,BAL,PIT,27,0,Home,1604.9991367554583,1490.994451628254,1626.6418536685958,1469.3517347151164
2006_12_SF_STL,2006,12,2006-11-26,LA,SF,20,17,Home,1441.165104680121,1488.6234217558017,1456.5775053146706,1473.211021121252
2006_12_GB_SEA,2006,12,2006-11-27,SEA,GB,34,24,Home,1498.5682845459028,1449.835882255646,1518.7585229559281,1429.6456438456207
2006_13_BAL_CIN,2006,13,2006-11-30,CIN,BAL,13,7,Home,1550.2829303324313,1626.6418536685958,1573.157237951733,1603.7675460492942
2006_13_ARI_STL,2006,13,2006-12-03,LA,ARI,20,34,Home,1456.5775053146706,1378.8931625248406,1424.6676760467426,1410.8029917927686
2006_13_ATL_WAS,2006,13,2006-12-03,WAS,ATL,14,24,Home,1438.8592398601036,1440.9210766981198,1415.0449059603136,1464.7354105979098
2006_13_DAL_NYG,2006,13,2006-12-03,NYG,DAL,20,23,Home,1517.2408505045967,1583.0055595826566,1506.2981818200396,1593.9482282672136
2006_13_DET_NE,2006,13,2006-12-03,NE,DET,28,21,Home,1615.624720940731,1375.9218806735362,1623.1640607771635,1368.3825408371038
2006_13_HOU_OAK,2006,13,2006-12-03,LV,HOU,14,23,Home,1391.6489538207893,1399.8321852598733,1369.248657145262,1422.2324819354005
2006_13_IND_TEN,2006,13,2006-12-03,TEN,IND,20,17,Home,1468.4841902591943,1632.0387437096324,1487.0500023615677,1613.472931607259
2006_13_JAX_MIA,2006,13,2006-12-03,MIA,JAX,10,24,Home,1498.8113231361206,1546.0187331117882,1475.8799353792338,1568.950120868675
2006_13_KC_CLE,2006,13,2006-12-03,CLE,KC,31,28,Home,1419.5834776972185,1554.8537339677268,1437.4859092046343,1536.9513024603111
2006_13_MIN_CHI,2006,13,2006-12-03,CHI,MIN,23,13,Home,1631.1753475569253,1468.7515580102654,1643.7658183548358,1456.161087212355
2006_13_NYJ_GB,2006,13,2006-12-03,GB,NYJ,10,38,Home,1429.6456438456207,1502.6758920801476,1403.8060012742199,1528.5155346515485
2006_13_SD_BUF,2006,13,2006-12-03,BUF,LAC,21,24,Home,1499.5407435078373,1649.8814885651602,1491.8534927718897,1657.5687393011078
