game_id,season,week,team,opponent,turnover_diff,turnover_won,turnover_lost,interception_won,interception_lost,fumble_won,fumble_lost
2006_06_NYG_ATL,2006,6,ATL,NYG,-2,0,2,0,1,0,1
2006_06_NYG_ATL,2006,6,NYG,ATL,-2,0,2,0,2,0,0
2006_06_CAR_BAL,2006,6,BAL,CAR,-2,1,3,1,2,0,1
2006_06_CAR_BAL,2006,6,CAR,BAL,-2,1,3,0,2,1,1
2006_06_HOU_DAL,2006,6,DAL,HOU,0,0,0,0,0,0,0
2006_06_HOU_DAL,2006,6,HOU,DAL,-3,0,3,0,2,0,1
2006_06_BUF_DET,2006,6,DET,BUF,-1,0,1,0,1,0,0
2006_06_BUF_DET,2006,6,BUF,DET,-2,1,3,0,1,1,2
2006_06_PHI_NO,2006,6,NO,PHI,-2,1,3,0,2,1,1
2006_06_PHI_NO,2006,6,PHI,NO,0,1,1,1,1,0,0
2006_06_SEA_STL,2006,6,LA,SEA,-1,1,2,1,1,0,1
2006_06_SEA_STL,2006,6,SEA,LA,1,2,1,1,0,1,1
2006_06_CIN_TB,2006,6,TB,CIN,-1,0,1,0,1,0,0
2006_06_CIN_TB,2006,6,CIN,TB,2,2,0,2,0,0,0
2006_06_TEN_WAS,2006,6,WAS,TEN,-1,1,2,1,1,0,1
2006_06_TEN_WAS,2006,6,TEN,WAS,1,1,0,0,0,1,0
2006_06_MIA_NYJ,2006,6,NYJ,MIA,3,3,0,2,0,1,0
2006_06_MIA_NYJ,2006,6,MIA,NYJ,-1,2,3,1,2,1,1
2006_06_KC_PIT,2006,6,PIT,KC,0,1,1,1,0,0,1
2006_06_KC_PIT,2006,6,KC,PIT,-2,1,3,1,3,0,0
2006_06_SD_SF,2006,6,SF,LAC,0,2,2,0,1,2,1
2006_06_SD_SF,2006,6,LAC,SF,2,2,0,2,0,0,0
2006_06_OAK_DEN,2006,6,DEN,LV,2,2,0,2,0,0,0
2006_06_OAK_DEN,2006,6,LV,DEN,-3,0,3,0,1,0,2
2006_06_CHI_ARI,2006,6,ARI,CHI,1,3,2,2,0,1,2
2006_06_CHI_ARI,2006,6,CHI,ARI,-5,1,6,1,4,0,2
2006_07_PIT_ATL,2006,7,ATL,PIT,-3,0,3,0,2,0,1
2006_07_PIT_ATL,2006,7,PIT,ATL,-1,1,2,0,0,1,2
2006_07_NE_BUF,2006,7,BUF,NE,0,3,3,1,1,2,2
2006_07_NE_BUF,2006,7,NE,BUF,1,1,0,1,0,0,0
2006_07_CAR_CIN,2006,7,CIN,CAR,0,0,0,0,0,0,0
2006_07_CAR_CIN,2006,7,CAR,CIN,-1,0,1,0,1,0,0
2006_07_JAX_HOU,2006,7,HOU,JAX,3,3,0,0,0,3,0
2006_07_JAX_HOU,2006,7,JAX,HOU,-2,0,2,0,0,0,2
2006_07_SD_KC,2006,7,KC,LAC,-1,0,1,0,0,0,1
2006_07_SD_KC,2006,7,LAC,KC,-2,1,3,0,1,1,2
2006_07_GB_MIA,2006,7,MIA,GB,-2,1,3,0,3,1,0
2006_07_GB_MIA,2006,7,GB,MIA,1,2,1,2,0,0,1
2006_07_DET_NYJ,2006,7,NYJ,DET,0,1,1,1,1,0,0
2006_07_DET_NYJ,2006,7,DET,NYJ,0,2,2,0,2,2,0
2006_07_PHI_TB,2006,7,TB,PHI,0,0,0,0,0,0,0
2006_07_PHI_TB,2006,7,PHI,TB,-2,2,4,1,3,1,1
2006_07_DEN_CLE,2006,7,CLE,DEN,1,3,2,2,1,1,1
2006_07_DEN_CLE,2006,7,DEN,CLE,-3,0,3,0,2,0,1
2006_07_WAS_IND,2006,7,IND,WAS,0,0,0,0,0,0,0
2006_07_WAS_IND,2006,7,WAS,IND,0,0,0,0,0,0,0
2006_07_ARI_OAK,2006,7,LV,ARI,-5,0,5,0,2,0,3
2006_07_ARI_OAK,2006,7,ARI,LV,-1,1,2,1,2,0,0
2006_07_MIN_SEA,2006,7,SEA,MIN,-1,2,3,0,2,2,1
2006_07_MIN_SEA,2006,7,MIN,SEA,2,2,0,1,0,1,0
2006_07_NYG_DAL,2006,7,DAL,NYG,-4,0,4,0,4,0,0
2006_07_NYG_DAL,2006,7,NYG,DAL,-2,0,2,0,1,0,1
2006_08_SF_CHI,2006,8,CHI,SF,1,1,0,0,0,1,0
2006_08_SF_CHI,2006,8,SF,CHI,-3,2,5,1,1,1,4
2006_08_ATL_CIN,2006,8,CIN,ATL,0,1,1,1,0,0,1
2006_08_ATL_CIN,2006,8,ATL,CIN,2,2,0,2,0,0,0
2006_08_ARI_GB,2006,8,GB,ARI,4,4,0,4,0,0,0
2006_08_ARI_GB,2006,8,ARI,GB,0,1,1,0,1,1,0
2006_08_SEA_KC,2006,8,KC,SEA,-2,0,2,0,0,0,2
2006_08_SEA_KC,2006,8,SEA,KC,-2,1,3,0,2,1,1
2006_08_BAL_NO,2006,8,NO,BAL,-4,1,5,1,4,0,1
2006_08_BAL_NO,2006,8,BAL,NO,-1,0,1,0,0,0,1
2006_08_TB_NYG,2006,8,NYG,TB,0,0,0,0,0,0,0
2006_08_TB_NYG,2006,8,TB,NYG,-1,0,1,0,0,0,1
2006_08_JAX_PHI,2006,8,PHI,JAX,2,2,0,1,0,1,0
2006_08_JAX_PHI,2006,8,JAX,PHI,2,3,1,2,0,1,1
2006_08_HOU_TEN,2006,8,TEN,HOU,0,0,0,0,0,0,0
2006_08_HOU_TEN,2006,8,HOU,TEN,-4,1,5,0,2,1,3
2006_08_STL_SD,2006,8,LAC,LA,2,2,0,0,0,2,0
2006_08_STL_SD,2006,8,LA,LAC,-1,0,1,0,0,0,1
2006_08_NYJ_CLE,2006,8,CLE,NYJ,-1,0,1,0,1,0,0
2006_08_NYJ_CLE,2006,8,NYJ,CLE,0,3,3,1,2,2,1
2006_08_IND_DEN,2006,8,DEN,IND,1,2,1,2,0,0,1
2006_08_IND_DEN,2006,8,IND,DEN,1,1,0,0,0,1,0
2006_08_PIT_OAK,2006,8,LV,PIT,2,3,1,1,1,2,0
2006_08_PIT_OAK,2006,8,PIT,LV,-3,1,4,0,4,1,0
2006_08_DAL_CAR,2006,8,CAR,DAL,0,3,3,3,1,0,2
2006_08_DAL_CAR,2006,8,DAL,CAR,1,2,1,2,1,0,0
2006_08_NE_MIN,2006,8,MIN,NE,-3,1,4,0,4,1,0
2006_08_NE_MIN,2006,8,NE,MIN,-1,1,2,0,1,1,1
2006_09_CIN_BAL,2006,9,BAL,CIN,2,2,0,1,0,1,0
2006_09_CIN_BAL,2006,9,CIN,BAL,-3,0,3,0,2,0,1
2006_09_GB_BUF,2006,9,BUF,GB,1,1,0,1,0,0,0
