game_id,season,week,team,passing_tds,rushing_tds,td_special,def_tds,fumble_recovery_tds,passing_2pt_conversions,rushing_2pt_conversions,pat_att,pat_made,fg_att,fg_made,safeties_def,td_off,td_def,td_total,two_pt_att,two_pt_made,two_pt_def,points8,points7,points6,points3,points2,points_total
2006_05_STL_GB,2006,5,GB,1,1,0,0,0,0,0,2,2,3,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_05_STL_GB,2006,5,LA,2,0,0,0,0,0,0,2,2,3,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_05_TEN_IND,2006,5,IND,2,0,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_05_TEN_IND,2006,5,TEN,0,1,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_05_DET_MIN,2006,5,MIN,1,0,0,1,1,0,0,3,2,2,2,0,1,2,3,0,0,0,0,2,1,2,0,26
2006_05_DET_MIN,2006,5,DET,1,1,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_05_MIA_NE,2006,5,NE,2,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_05_MIA_NE,2006,5,MIA,0,1,0,0,0,0,0,1,1,3,1,0,1,0,1,0,0,0,0,1,0,1,0,10
2006_05_TB_NO,2006,5,NO,1,1,1,0,0,0,0,3,3,1,1,0,2,0,3,0,0,0,0,3,0,1,0,24
2006_05_TB_NO,2006,5,TB,2,1,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,21
2006_05_WAS_NYG,2006,5,NYG,1,0,0,0,0,0,0,1,1,5,4,0,1,0,1,0,0,0,0,1,0,4,0,19
2006_05_WAS_NYG,2006,5,WAS,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2006_05_KC_ARI,2006,5,ARI,2,0,0,0,0,0,0,2,2,3,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_05_KC_ARI,2006,5,KC,2,0,0,0,0,0,0,2,2,3,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_05_NYJ_JAX,2006,5,JAX,2,3,0,0,0,0,0,5,5,2,2,0,5,0,5,0,0,0,0,5,0,2,0,41
2006_05_NYJ_JAX,2006,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006_05_OAK_SF,2006,5,SF,3,0,0,0,1,0,0,4,4,3,2,0,3,1,4,0,0,0,0,4,0,2,0,34
2006_05_OAK_SF,2006,5,LV,2,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_05_DAL_PHI,2006,5,PHI,2,2,0,1,0,0,0,5,5,1,1,0,4,1,5,0,0,0,0,5,0,1,0,38
2006_05_DAL_PHI,2006,5,DAL,0,2,0,0,1,0,0,3,3,1,1,0,2,1,3,0,0,0,0,3,0,1,0,24
2006_05_PIT_SD,2006,5,LAC,2,0,0,0,0,0,0,2,2,3,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_05_PIT_SD,2006,5,PIT,0,1,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_05_BAL_DEN,2006,5,DEN,1,0,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_05_BAL_DEN,2006,5,BAL,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3
2006_06_NYG_ATL,2006,6,ATL,0,2,0,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_06_NYG_ATL,2006,6,NYG,2,1,0,0,0,0,0,3,3,2,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_06_CAR_BAL,2006,6,BAL,3,0,0,0,0,0,0,3,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,21
2006_06_CAR_BAL,2006,6,CAR,2,0,0,0,0,0,0,2,2,3,3,0,2,0,2,0,0,0,0,2,0,3,0,23
2006_06_HOU_DAL,2006,6,DAL,3,1,0,0,0,0,0,4,4,2,2,0,4,0,4,0,0,0,0,4,0,2,0,34
2006_06_HOU_DAL,2006,6,HOU,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,6
2006_06_BUF_DET,2006,6,DET,1,1,0,0,0,0,0,2,2,3,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_06_BUF_DET,2006,6,BUF,2,0,0,0,0,0,0,2,2,1,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_06_PHI_NO,2006,6,NO,3,0,0,0,0,0,0,3,3,2,2,0,3,0,3,0,0,0,0,3,0,2,0,27
2006_06_PHI_NO,2006,6,PHI,2,1,0,0,0,0,0,3,3,1,1,0,3,0,3,0,0,0,0,3,0,1,0,24
2006_06_SEA_STL,2006,6,LA,3,1,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,0,4,0,0,0,28
2006_06_SEA_STL,2006,6,SEA,3,0,0,0,0,0,0,3,3,4,3,0,3,0,3,0,0,0,0,3,0,3,0,30
2006_06_CIN_TB,2006,6,TB,2,0,0,0,0,0,0,2,2,1,0,0,2,0,2,0,0,0,0,2,0,0,0,14
2006_06_CIN_TB,2006,6,CIN,1,0,0,0,0,0,0,1,1,3,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_06_TEN_WAS,2006,6,WAS,1,2,0,0,0,1,0,2,2,0,0,0,3,0,3,1,1,0,1,2,0,0,0,22
2006_06_TEN_WAS,2006,6,TEN,1,1,0,0,0,0,0,2,2,3,3,1,2,0,2,0,0,0,0,2,0,3,1,25
2006_06_MIA_NYJ,2006,6,NYJ,2,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,0,0,0,2,0,2,0,20
2006_06_MIA_NYJ,2006,6,MIA,1,1,0,0,0,0,0,2,2,2,1,0,2,0,2,0,0,0,0,2,0,1,0,17
2006_06_KC_PIT,2006,6,PIT,2,3,0,1,0,0,0,6,6,2,1,0,5,1,6,0,0,0,0,6,0,1,0,45
2006_06_KC_PIT,2006,6,KC,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7
2006_06_SD_SF,2006,6,SF,2,0,0,0,0,0,0,2,2,1,1,1,2,0,2,0,0,0,0,2,0,1,1,19
2006_06_SD_SF,2006,6,LAC,2,4,0,0,0,0,0,6,6,2,2,0,6,0,6,0,0,0,0,6,0,2,0,48
2006_06_OAK_DEN,2006,6,DEN,0,1,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,0,0,1,0,2,0,13
2006_06_OAK_DEN,2006,6,LV,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3
